frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
79,1776496370574365000,17.482,0.956,9.037,6.896,0.593,1,0,0.0,,0.955
80,1776496370591037000,19.121,0.942,8.892,8.485,0.801,1,0,0.0,,0.951
81,1776496370607733000,20.819,1.445,8.576,8.503,2.295,1,0,0.0,,0.954
82,1776496370632703000,18.462,1.392,8.917,7.518,0.635,1,0,0.0,,0.955
83,1776496370657713000,16.822,1.651,8.512,6.107,0.552,1,0,0.0,,0.955
84,1776496370674364000,19.674,1.453,9.595,7.719,0.908,1,0,0.0,,0.952
84,1776496370674364000,17.647,0.896,10.992,5.357,0.402,1,0,0.0,,0.952
85,1776496370699375000,20.365,1.848,10.682,7.324,0.511,1,0,0.0,,0.952
86,1776496370724362000,18.784,2.123,10.988,5.024,0.649,1,0,0.0,,0.955
87,1776496370741043000,19.257,1.924,8.422,8.019,0.892,1,0,0.0,,0.95
88,1776496370766033000,18.833,0.946,8.955,8.477,0.456,1,0,0.0,,0.956
89,1776496370791048000,17.264,0.89,8.308,7.609,0.458,1,0,0.0,,0.953
90,1776496370816060000,18.963,1.637,8.8,7.712,0.814,1,0,0.0,,0.954
91,1776496370841048000,20.909,1.13,8.922,9.118,1.739,1,0,0.0,,0.953
92,1776496370857714000,17.855,1.149,8.842,7.22,0.645,1,0,0.0,,0.949
93,1776496370874394000,20.46,0.936,8.969,10.148,0.407,1,0,0.0,,0.954
94,1776496370899398000,18.087,0.987,9.149,7.235,0.716,1,0,0.0,,0.955
95,1776496370916065000,20.261,1.105,8.457,9.985,0.713,1,0,0.0,,0.954
96,1776496370941032000,19.088,0.97,8.955,8.326,0.836,1,0,0.0,,0.954
97,1776496370957710000,20.019,0.939,8.873,9.294,0.913,1,0,0.0,,0.955
98,1776496370982707000,18.814,0.953,8.827,8.17,0.864,1,0,0.0,,0.954
99,1776496370999379000,20.365,1.041,9.119,8.979,1.226,1,0,0.0,,0.954
100,1776496371024382000,18.462,1.008,8.986,7.011,1.457,1,0,0.0,,0.957
101,1776496371041050000,20.055,0.929,9.277,8.984,0.865,1,0,0.0,,0.955
102,1776496371057892000,17.812,0.999,9.068,7.182,0.563,1,0,0.0,,0.954
103,1776496371082697000,19.718,0.949,8.965,9.267,0.537,1,0,0.0,,0.953
104,1776496371099374000,17.415,0.914,8.79,7.284,0.427,1,0,0.0,,0.954
105,1776496371124367000,19.253,0.928,9.067,8.54,0.719,1,0,0.0,,0.954
106,1776496371141041000,18.248,1.143,8.796,7.643,0.667,1,0,0.0,,0.954
107,1776496371157712000,17.698,0.926,8.638,7.646,0.489,1,0,0.0,,0.954
108,1776496371182733000,15.536,1.482,8.621,5.024,0.409,1,0,0.0,,0.955
108,1776496371182733000,17.352,1.165,8.602,7.196,0.389,1,0,0.0,,0.955
109,1776496371207752000,15.635,1.35,8.614,5.156,0.515,1,0,0.0,,0.953
109,1776496371207752000,19.26,0.91,8.748,8.765,0.836,1,0,0.0,,0.953
110,1776496371232714000,15.937,1.093,8.239,6.157,0.449,1,0,0.0,,0.952
111,1776496371274387000,19.681,1.384,9.12,8.286,0.891,1,0,0.0,,0.955
111,1776496371274387000,18.444,1.081,11.191,5.267,0.906,1,0,0.0,,0.955
112,1776496371291066000,21.075,1.391,10.61,8.447,0.627,1,0,0.0,,0.956
113,1776496371316066000,18.643,1.517,10.975,5.456,0.696,1,0,0.0,,0.954
114,1776496371341058000,20.143,1.97,8.474,8.827,0.873,1,0,0.0,,0.954
115,1776496371366046000,15.902,0.926,8.342,6.13,0.504,1,0,0.0,,0.952
116,1776496371391053000,19.846,1.219,9.665,8.077,0.884,1,0,0.0,,0.954
116,1776496371391053000,17.895,1.186,11.024,5.149,0.537,1,0,0.0,,0.954
117,1776496371416098000,20.086,1.238,8.517,9.828,0.502,1,0,0.0,,0.95
118,1776496371441051000,17.789,0.912,8.999,7.172,0.705,1,0,0.0,,0.956
119,1776496371466063000,19.516,0.892,8.861,9.136,0.626,1,0,0.0,,0.955
120,1776496371491085000,19.111,1.238,8.846,8.191,0.836,1,0,0.0,,0.954
121,1776496371507717000,20.088,0.888,8.733,9.9,0.567,1,0,0.0,,0.954
122,1776496371532727000,17.985,1.073,8.957,7.516,0.438,1,0,0.0,,0.954
123,1776496371549396000,19.754,0.891,8.72,9.686,0.458,1,0,0.0,,0.951
124,1776496371574396000,22.75,0.932,12.827,8.11,0.881,1,0,0.0,,0.956
125,1776496371591065000,21.311,1.178,10.462,9.009,0.663,1,0,0.0,,0.952
126,1776496371616074000,17.936,0.973,8.886,7.322,0.755,1,0,0.0,,0.954
127,1776496371641048000,21.119,1.025,9.111,9.526,1.457,1,0,0.0,,0.954
128,1776496371657734000,22.989,1.184,9.658,10.856,1.291,1,0,0.0,,0.955
129,1776496371682717000,18.579,1.028,8.992,7.823,0.735,1,0,0.0,,0.954
130,1776496371699383000,17.084,0.979,8.455,7.165,0.485,1,0,0.0,,0.951
131,1776496371724388000,16.552,2.008,8.593,5.147,0.804,1,0,0.0,,0.953
131,1776496371724388000,17.159,1.627,9.323,5.554,0.654,1,0,0.0,,0.953
132,1776496371749376000,19.52,1.365,9.255,7.439,1.462,1,0,0.0,,0.955
133,1776496371774386000,18.068,1.002,8.947,7.476,0.643,1,0,0.0,,0.954
134,1776496371799383000,20.453,1.191,9.105,9.26,0.896,1,0,0.0,,0.954
135,1776496371824376000,18.435,1.112,8.887,7.354,1.082,1,0,0.0,,0.956
136,1776496371841045000,19.555,1.877,9.324,7.428,0.925,1,0,0.0,,0.954
137,1776496371857724000,18.206,0.894,8.8,7.708,0.804,1,0,0.0,,0.954
138,1776496371882720000,20.577,3.331,8.821,6.892,1.533,1,0,0.0,,0.954
139,1776496371899378000,18.708,0.925,8.747,7.191,1.845,1,0,0.0,,0.954
140,1776496371924386000,18.962,1.881,9.633,6.887,0.561,1,0,0.0,,0.95
141,1776496371941058000,17.564,0.869,8.742,7.168,0.785,1,0,0.0,,0.953
142,1776496371966055000,18.521,1.212,9.658,6.529,1.123,1,0,0.0,,0.956
143,1776496371982714000,18.878,0.918,8.927,8.333,0.701,1,0,0.0,,0.955
144,1776496371999380000,18.672,1.214,9.142,7.488,0.828,1,0,0.0,,0.954
145,1776496372024392000,15.981,0.966,8.361,6.207,0.447,1,0,0.0,,0.954
146,1776496372041049000,18.347,2.689,8.577,6.376,0.705,1,0,0.0,,0.955
147,1776496372066049000,16.584,1.936,8.694,5.552,0.402,1,0,0.0,,0.954
147,1776496372066049000,20.555,1.548,10.806,7.713,0.487,1,0,0.0,,0.954
