frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
75,1776493168202119000,18.756,1.505,10.88,5.687,0.685,1,0,0.0,,0.954
76,1776493168227156000,20.306,1.846,10.401,7.44,0.619,1,0,0.0,,0.956
77,1776493168252135000,21.857,1.806,11.281,7.874,0.896,1,0,0.0,,0.957
78,1776493168277135000,22.473,1.377,11.071,8.862,1.163,1,0,0.0,,0.957
80,1776493168318770000,18.448,1.299,10.453,5.731,0.965,1,0,0.0,,0.958
80,1776493168318770000,20.723,1.602,10.736,7.488,0.897,1,0,0.0,,0.958
81,1776493168343767000,18.112,1.482,10.552,5.272,0.806,1,0,0.0,,0.956
82,1776493168360429000,19.924,1.797,11.359,5.824,0.944,1,0,0.0,,0.957
83,1776493168385449000,19.192,1.172,8.738,7.791,1.49,1,0,0.0,,0.957
84,1776493168402121000,20.602,1.604,8.751,8.404,1.842,1,0,0.0,,0.957
85,1776493168435447000,18.161,1.154,8.704,7.645,0.659,1,0,0.0,,0.956
86,1776493168460460000,19.923,1.409,8.943,8.711,0.86,1,0,0.0,,0.957
87,1776493168477104000,18.775,1.167,8.734,7.956,0.917,1,0,0.0,,0.956
88,1776493168502119000,22.277,1.283,8.96,9.733,2.301,1,0,0.0,,0.958
89,1776493168518780000,21.771,1.21,8.749,11.336,0.475,1,0,0.0,,0.956
90,1776493168543788000,16.524,1.158,8.657,5.906,0.803,1,0,0.0,,0.958
91,1776493168560446000,21.559,1.124,8.703,9.84,1.892,1,0,0.0,,0.958
92,1776493168586823000,22.572,2.047,9.029,9.858,1.638,1,0,0.0,,0.957
93,1776493168602109000,18.151,1.256,8.693,7.199,1.003,1,0,0.0,,0.956
94,1776493168627131000,18.509,1.133,8.757,7.877,0.741,1,0,0.0,,0.959
95,1776493168652131000,17.813,1.255,8.932,6.689,0.938,1,0,0.0,,0.956
96,1776493168668786000,16.729,1.178,8.158,6.893,0.5,1,0,0.0,,0.957
97,1776493168693782000,18.696,1.34,9.549,6.494,1.313,1,0,0.0,,0.957
97,1776493168693782000,20.148,1.403,10.752,6.41,1.582,1,0,0.0,,0.957
98,1776493168710452000,17.644,1.307,10.615,5.253,0.469,1,0,0.0,,0.957
99,1776493168735455000,18.881,1.617,10.525,6.268,0.472,1,0,0.0,,0.959
100,1776493168760440000,18.242,1.615,8.896,7.156,0.575,1,0,0.0,,0.957
101,1776493168777126000,18.106,1.172,8.814,7.191,0.929,1,0,0.0,,0.958
102,1776493168810471000,17.773,1.281,9.504,6.338,0.649,1,0,0.0,,0.957
103,1776493168827113000,16.296,1.882,8.622,5.113,0.679,1,0,0.0,,0.957
103,1776493168827113000,19.444,2.015,10.46,6.575,0.395,1,0,0.0,,0.957
104,1776493168852135000,17.843,2.151,8.458,6.448,0.786,1,0,0.0,,0.956
105,1776493168877118000,17.402,1.166,8.361,7.25,0.626,1,0,0.0,,0.958
106,1776493168902563000,16.623,2.293,8.589,5.155,0.586,1,0,0.0,,0.958
106,1776493168902563000,19.931,1.885,10.59,6.893,0.564,1,0,0.0,,0.958
107,1776493168927110000,18.098,2.137,8.406,6.563,0.991,1,0,0.0,,0.957
108,1776493168952110000,19.319,1.236,8.834,7.754,1.495,1,0,0.0,,0.958
109,1776493168977099000,18.664,1.373,8.66,7.067,1.565,1,0,0.0,,0.956
110,1776493169002099000,17.705,1.322,8.268,7.654,0.461,1,0,0.0,,0.957
111,1776493169018776000,19.293,1.882,8.746,7.814,0.852,1,0,0.0,,0.957
112,1776493169043767000,20.626,1.21,8.867,8.39,2.159,1,0,0.0,,0.957
113,1776493169060450000,18.841,1.451,8.725,8.081,0.584,1,0,0.0,,0.958
114,1776493169077104000,20.139,1.42,8.978,9.305,0.436,1,0,0.0,,0.957
115,1776493169102107000,16.038,1.102,8.09,6.346,0.5,1,0,0.0,,0.958
116,1776493169118770000,19.639,1.098,10.603,6.469,1.47,1,0,0.0,,0.957
116,1776493169118770000,17.807,1.42,10.811,5.068,0.508,1,0,0.0,,0.957
117,1776493169143777000,22.288,1.762,10.718,8.394,1.414,1,0,0.0,,0.957
118,1776493169168775000,20.889,1.437,11.131,7.619,0.701,1,0,0.0,,0.956
119,1776493169193769000,19.513,2.177,11.244,5.388,0.704,1,0,0.0,,0.956
120,1776493169210448000,19.227,1.397,10.491,6.858,0.481,1,0,0.0,,0.956
121,1776493169235449000,19.624,2.048,10.46,6.648,0.468,1,0,0.0,,0.957
122,1776493169260444000,20.484,1.887,10.225,7.64,0.732,1,0,0.0,,0.955
123,1776493169277111000,18.964,1.694,10.951,5.885,0.433,1,0,0.0,,0.959
124,1776493169302108000,21.24,1.61,10.534,7.814,1.282,1,0,0.0,,0.957
125,1776493169318780000,18.342,1.658,10.117,5.694,0.873,1,0,0.0,,0.957
126,1776493169335483000,19.926,1.171,8.717,9.074,0.965,1,0,0.0,,0.956
127,1776493169368794000,18.583,1.161,8.196,7.271,1.955,1,0,0.0,,0.957
128,1776493169393773000,18.057,1.493,8.231,7.403,0.93,1,0,0.0,,0.957
129,1776493169410451000,17.051,2.082,8.607,5.684,0.68,1,0,0.0,,0.956
129,1776493169410451000,19.728,1.379,8.52,8.934,0.896,1,0,0.0,,0.956
130,1776493169435435000,18.954,1.211,8.843,7.978,0.922,1,0,0.0,,0.957
131,1776493169468776000,17.272,1.139,8.684,6.829,0.621,1,0,0.0,,0.955
132,1776493169485787000,19.686,1.609,8.433,7.679,1.965,1,0,0.0,,0.957
133,1776493169510437000,20.442,1.181,8.114,10.282,0.865,1,0,0.0,,0.958
134,1776493169527143000,18.078,1.251,8.999,7.057,0.771,1,0,0.0,,0.955
135,1776493169552114000,17.77,1.27,8.183,7.818,0.499,1,0,0.0,,0.956
136,1776493169569051000,16.39,1.802,8.641,5.422,0.525,1,0,0.0,,0.956
136,1776493169569051000,19.107,1.534,10.533,6.569,0.471,1,0,0.0,,0.956
137,1776493169593774000,18.198,1.454,10.498,5.612,0.634,1,0,0.0,,0.955
138,1776493169618775000,18.101,2.273,8.475,6.353,1.0,1,0,0.0,,0.957
139,1776493169635457000,18.016,1.354,8.96,7.269,0.432,1,0,0.0,,0.955
140,1776493169668777000,18.301,1.25,8.726,7.845,0.48,1,0,0.0,,0.956
141,1776493169685446000,18.841,1.317,8.904,7.723,0.897,1,0,0.0,,0.957
142,1776493169702107000,20.573,1.166,8.248,10.54,0.619,1,0,0.0,,0.957
143,1776493169727117000,20.153,1.659,11.401,5.452,1.642,1,0,0.0,,0.956
143,1776493169727117000,20.251,1.524,10.524,7.373,0.829,1,0,0.0,,0.956
144,1776493169752115000,18.745,1.607,8.399,7.494,1.245,1,0,0.0,,0.956
145,1776493169777117000,19.714,1.441,8.395,8.132,1.746,1,0,0.0,,0.955
146,1776493169810454000,19.553,1.166,8.171,8.009,2.207,1,0,0.0,,0.955
147,1776493169835462000,19.405,1.545,8.95,7.736,1.174,1,0,0.0,,0.958
148,1776493169852107000,16.239,1.132,8.174,6.493,0.44,1,0,0.0,,0.955
149,1776493169877136000,18.612,1.746,8.602,6.993,1.271,1,0,0.0,,0.955
149,1776493169877136000,18.138,1.382,10.652,5.108,0.996,1,0,0.0,,0.955
150,1776493169893764000,19.129,1.393,10.67,6.327,0.739,1,0,0.0,,0.956
151,1776493169918792000,19.664,2.715,10.614,5.613,0.723,1,0,0.0,,0.956
152,1776493169943769000,20.914,2.405,8.466,9.608,0.435,1,0,0.0,,0.955
153,1776493169960446000,18.026,1.253,8.859,7.337,0.578,1,0,0.0,,0.955
154,1776493169993778000,19.381,1.576,8.843,8.541,0.421,1,0,0.0,,0.957
155,1776493170010450000,17.655,1.103,8.704,7.296,0.552,1,0,0.0,,0.954
156,1776493170035445000,18.306,1.404,8.964,7.194,0.744,1,0,0.0,,0.955
157,1776493170052113000,18.737,1.166,8.183,7.738,1.65,1,0,0.0,,0.956
158,1776493170068778000,17.695,1.174,8.358,7.732,0.431,1,0,0.0,,0.955
159,1776493170093780000,18.888,1.696,8.875,7.77,0.547,1,0,0.0,,0.956
160,1776493170118779000,17.902,1.507,8.731,7.224,0.441,1,0,0.0,,0.955
161,1776493170127109000,18.95,1.265,8.697,7.998,0.99,1,0,0.0,,0.957
162,1776493170152110000,18.337,1.166,8.982,7.383,0.805,1,0,0.0,,0.957
163,1776493170177109000,18.137,1.132,8.256,7.953,0.795,1,0,0.0,,0.955
164,1776493170193768000,22.16,1.524,8.574,10.292,1.769,1,0,0.0,,0.957
165,1776493170218777000,19.447,1.285,8.197,7.71,2.256,1,0,0.0,,0.955
166,1776493170235434000,18.242,1.528,8.746,7.53,0.439,1,0,0.0,,0.957
167,1776493170260424000,18.951,1.2,8.301,7.188,2.262,1,0,0.0,,0.955
168,1776493170277107000,19.316,1.303,8.186,8.598,1.229,1,0,0.0,,0.955
169,1776493170302092000,18.474,1.272,8.887,7.756,0.559,1,0,0.0,,0.957
170,1776493170318770000,23.428,2.095,11.751,8.081,1.501,1,0,0.0,,0.956
171,1776493170343759000,20.969,1.407,8.139,10.637,0.786,1,0,0.0,,0.955
172,1776493170368764000,20.857,1.537,8.28,8.9,2.14,1,0,0.0,,0.957
173,1776493170385435000,20.757,1.14,8.313,9.713,1.591,1,0,0.0,,0.957
174,1776493170410435000,21.195,1.378,8.894,9.508,1.414,1,0,0.0,,0.954
175,1776493170435436000,16.591,1.214,8.177,6.783,0.416,1,0,0.0,,0.955
176,1776493170452125000,20.325,1.801,8.555,9.098,0.871,1,0,0.0,,0.958
177,1776493170477100000,18.382,1.516,10.35,5.042,1.475,1,0,0.0,,0.956
177,1776493170477100000,21.367,1.837,10.882,7.283,1.365,1,0,0.0,,0.956
178,1776493170502091000,20.406,1.463,11.301,5.922,1.721,1,0,0.0,,0.955
179,1776493170527085000,19.456,1.317,10.788,6.937,0.414,1,0,0.0,,0.955
180,1776493170543750000,18.715,1.587,10.468,6.227,0.433,1,0,0.0,,0.956
181,1776493170568759000,19.296,1.43,10.508,6.917,0.442,1,0,0.0,,0.955
182,1776493170593762000,18.995,1.221,8.817,8.059,0.898,1,0,0.0,,0.957
183,1776493170610424000,20.205,1.158,8.216,9.052,1.779,1,0,0.0,,0.958
184,1776493170643764000,18.409,1.285,8.696,7.57,0.859,1,0,0.0,,0.957
185,1776493170660428000,20.799,1.288,8.919,9.775,0.816,1,0,0.0,,0.957
186,1776493170677361000,18.65,1.306,8.819,8.026,0.498,1,0,0.0,,0.956
187,1776493170702111000,19.971,1.313,8.913,9.026,0.719,1,0,0.0,,0.957
188,1776493170718794000,18.653,1.183,8.732,8.0,0.737,1,0,0.0,,0.957
189,1776493170743768000,19.689,1.19,8.75,8.912,0.837,1,0,0.0,,0.957
190,1776493170760451000,18.216,1.166,8.719,7.42,0.91,1,0,0.0,,0.958
191,1776493170785415000,18.008,1.195,8.291,8.069,0.452,1,0,0.0,,0.958
192,1776493170802124000,17.039,1.52,9.522,5.513,0.484,1,0,0.0,,0.956
192,1776493170802124000,19.797,1.352,10.853,7.077,0.514,1,0,0.0,,0.956
193,1776493170827119000,18.424,1.808,10.785,5.395,0.435,1,0,0.0,,0.957
194,1776493170852108000,20.884,1.372,10.429,7.616,1.467,1,0,0.0,,0.957
195,1776493170868800000,19.416,1.885,11.077,5.313,1.142,1,0,0.0,,0.957
196,1776493170893743000,22.062,2.091,8.469,8.71,2.792,1,0,0.0,,0.955
197,1776493170910438000,17.881,1.21,9.431,6.813,0.428,1,0,0.0,,0.958
198,1776493170943751000,25.435,2.043,8.739,14.1,0.553,1,0,0.0,,0.957
199,1776493170968753000,18.862,1.239,9.58,5.618,2.425,1,0,0.0,,0.958
199,1776493170968753000,23.085,4.281,11.015,7.208,0.581,1,0,0.0,,0.958
200,1776493171002085000,19.952,2.006,10.624,6.865,0.457,1,0,0.0,,0.957
201,1776493171018763000,18.268,1.356,8.529,7.951,0.431,1,0,0.0,,0.956
202,1776493171052091000,18.414,1.532,8.93,7.387,0.564,1,0,0.0,,0.955
203,1776493171077111000,19.562,1.284,8.774,9.072,0.432,1,0,0.0,,0.957
204,1776493171102097000,20.203,1.169,8.955,9.185,0.895,1,0,0.0,,0.955
205,1776493171118763000,18.638,1.354,9.045,7.418,0.822,1,0,0.0,,0.955
206,1776493171135435000,18.42,1.463,8.947,7.618,0.392,1,0,0.0,,0.956
