time_s,gait_phase,knee_L_meas,knee_R_meas,hip_L_meas,hip_R_meas,knee_L_ref,knee_R_ref,hip_L_ref,hip_R_ref,F_imp_L,F_imp_R,F_ilc_L,F_ilc_R,F_total_L,F_total_R,teensy_phase,teensy_fL,teensy_fR,hs_L,hs_R,shm_valid
8123.2423,0.0000,173.86,176.76,96.80,83.71,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2523,0.0000,173.73,176.29,97.23,83.11,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2623,0.0000,174.64,176.80,96.70,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2723,0.0000,174.64,176.80,96.70,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.2823,0.0000,174.29,176.69,97.16,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.2923,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.3023,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3123,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3223,0.0000,174.12,176.73,97.09,83.02,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3323,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.3423,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3524,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3631,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3723,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3823,0.0000,174.58,176.42,97.57,82.97,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.3923,0.0000,174.73,177.08,96.91,83.01,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.4049,0.0000,174.16,176.26,97.26,83.24,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.4123,0.0000,174.16,176.26,97.26,83.24,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.4223,0.0000,174.84,176.51,96.91,83.70,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.4323,0.0000,174.76,176.52,97.03,83.73,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.4423,0.0000,174.76,176.52,97.03,83.73,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.4523,0.0000,174.76,176.52,97.03,83.73,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.4623,0.0000,174.76,176.52,97.03,83.73,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.4723,0.0000,174.73,176.47,97.43,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.4823,0.0000,174.73,176.47,97.43,83.03,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.4923,0.0000,174.66,176.05,97.33,82.79,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5023,0.0000,174.75,176.67,97.57,82.85,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5123,0.0000,174.75,176.67,97.57,82.85,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.5223,0.0000,174.72,176.25,97.17,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5323,0.0000,174.72,176.25,97.17,83.19,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.5423,0.0000,173.63,176.85,97.11,82.68,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5523,0.0000,176.38,176.17,97.56,82.48,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5623,0.0000,176.38,176.17,97.56,82.48,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.5723,0.0000,176.06,176.80,97.57,82.88,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5823,0.0000,176.68,176.38,97.55,82.90,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.5923,0.0000,176.45,175.83,97.46,83.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.6024,0.0000,176.45,175.83,97.46,83.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6149,0.0000,176.45,175.83,97.46,83.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6223,0.0000,176.45,175.83,97.46,83.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6323,0.0000,176.45,175.83,97.46,83.32,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6423,0.0000,176.45,176.25,97.58,82.55,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.6523,0.0000,176.45,176.25,97.58,82.55,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,0
8123.6623,0.0000,175.47,176.34,97.42,83.04,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
8123.6723,0.0000,174.69,176.38,97.39,83.09,0.00,24.00,25.00,20.00,5.00,5.00,0.00,0.00,5.00,5.00,-1.0000,0.00,0.00,0,0,1
