frame_id,ts_ns,e2e_ms,pre_ms,inf_ms,post_ms,host_overhead_ms,valid,occluded_count,depth_invalid_ratio,constraint_reason,box_conf
76,1776747559546516000,9.922,3.426,0.002,4.846,1.648,1,0,0.0,,0.752
77,1776747559571542000,12.453,1.923,0.004,6.622,3.903,1,0,0.0,,0.752
77,1776747559571542000,11.917,2.891,0.016,4.412,4.599,1,2,0.0,,0.441
78,1776747559604859000,15.07,5.914,0.006,8.364,0.786,1,0,1.0,,0.441
79,1776747559629863000,11.741,3.886,0.006,5.224,2.626,1,0,0.0,,0.441
79,1776747559629863000,9.979,3.048,0.006,4.168,2.756,1,0,0.0,,0.867
79,1776747559629863000,11.984,3.783,0.002,4.472,3.727,1,0,0.0,,0.867
80,1776747559654883000,12.684,2.286,0.002,5.278,5.118,1,0,0.0,,0.867
80,1776747559654883000,10.458,2.63,0.021,5.071,2.735,1,0,0.056,,0.634
81,1776747559688183000,12.735,5.676,0.002,4.724,2.333,1,0,0.056,,0.634
81,1776747559688183000,10.119,3.205,0.009,4.733,2.172,1,0,0.0,,0.634
82,1776747559714117000,17.577,7.498,0.002,6.771,3.306,1,0,0.0,,0.634
82,1776747559714117000,10.545,3.739,0.009,4.726,2.071,1,0,0.0,,0.634
82,1776747559714117000,9.655,1.486,0.006,4.907,3.256,1,0,0.0,,0.743
83,1776747559754853000,10.755,1.606,0.026,4.795,4.329,1,0,0.0,,0.743
83,1776747559754853000,12.097,4.95,0.005,5.254,1.888,1,0,0.0,,0.685
84,1776747559788215000,13.773,2.523,0.131,6.169,4.951,1,0,0.0,,0.685
85,1776747559813203000,15.986,1.272,0.021,5.55,9.143,1,0,0.0,,0.964
85,1776747559813203000,11.106,3.394,0.002,5.341,2.369,1,0,0.0,,0.964
86,1776747559838244000,11.291,2.769,0.01,5.155,3.357,1,0,0.0,,0.964
86,1776747559838244000,10.325,3.195,0.006,4.694,2.43,1,0,0.0,,0.964
86,1776747559838244000,10.854,3.39,0.002,4.433,3.029,1,0,0.0,,0.964
87,1776747559871534000,14.98,2.274,0.002,7.993,4.711,1,0,0.0,,0.964
87,1776747559871534000,12.065,3.45,0.002,5.453,3.16,1,0,0.148,,0.851
88,1776747559896530000,10.47,1.679,0.103,4.03,4.658,1,0,0.148,,0.851
88,1776747559896530000,16.502,1.434,0.063,8.054,6.951,1,0,0.0,,0.634
89,1776747559921527000,12.695,1.705,0.118,6.136,4.736,1,0,0.0,,0.634
90,1776747559954852000,12.352,1.653,0.003,6.169,4.528,1,0,0.0,,0.634
90,1776747559954852000,10.25,3.142,0.01,5.19,1.908,1,0,0.0,,0.784
90,1776747559954852000,10.921,3.453,0.013,4.709,2.746,1,0,0.0,,0.784
91,1776747559988202000,13.371,2.295,0.019,5.667,5.391,1,0,0.0,,0.784
91,1776747559988202000,13.088,4.734,0.005,5.011,3.338,1,0,0.0,,0.88
92,1776747560013197000,14.144,5.928,0.003,6.817,1.397,1,0,0.0,,0.88
93,1776747560046549000,11.242,2.751,0.016,7.153,1.321,1,0,0.167,,0.88
93,1776747560046549000,12.034,4.033,0.003,4.794,3.205,1,0,0.167,,0.88
93,1776747560046549000,16.239,4.255,0.006,5.808,6.169,1,0,0.148,,0.952
94,1776747560071547000,9.849,1.299,0.013,4.937,3.6,1,0,0.0,,0.952
94,1776747560071547000,10.585,3.19,0.002,4.197,3.197,1,0,0.0,,0.715
95,1776747560104853000,10.02,1.483,0.021,4.806,3.71,1,0,0.0,,0.715
95,1776747560104853000,13.915,5.022,0.003,4.864,4.027,1,0,0.0,,0.539
96,1776747560129849000,9.97,3.663,0.007,4.738,1.562,1,0,0.0,,0.691
96,1776747560129849000,11.405,2.745,0.011,5.091,3.559,1,1,0.0,,0.691
97,1776747560154842000,10.1,1.293,0.013,4.495,4.3,1,0,0.0,,0.691
97,1776747560154842000,9.805,2.851,0.005,5.089,1.859,1,1,0.0,,0.924
